Press_mm_hg,RH_1,RH_2,RH_3,RH_7,RH_8,RH_9,T3,T4,T6,T7,T8,T9,Visibility,Windspeed,lights,month_2,month_3,month_4,month_5,Appliances
754.2166667,41.0,45.62666667,38.73,35.5,40.09,43.46666667,24.23,21.1,5.933333333,21.6,23.16666667,20.79,37.66666667,3.0,0.0,0,0,1,0,3.912023005428146
760.6,38.73,43.29,37.4,31.0,39.59,39.2,22.39,22.67142857,0.033333333,20.89,22.5,20.5,24.66666667,1.0,0.0,0,0,1,0,4.0943445622221
769.0,35.4,37.46666667,36.29,30.63333333,32.2,37.62666667,20.73,20.42666667,4.433333333,22.1,24.2,19.39,22.66666667,4.0,0.0,0,1,0,0,4.787491742782046
764.2,36.82666667,37.23,37.0,28.79,35.96666667,41.745,20.79,19.0,3.49,20.32333333,21.89,18.15,40.0,3.5,2.995732273553991,1,0,0,0,5.66988092298052
767.4333333,44.69333333,43.36333333,44.36,40.845,52.63666667,48.73,18.32333333,17.99666667,6.19,15.6,18.03333333,15.5,48.0,5.666666667,2.302585092994046,0,0,0,0,6.536691597591305
754.0333333,41.2,45.4,38.79,35.29,40.09,41.86,24.39,21.2,6.333333333,21.7,23.32333333,20.79,40.0,3.0,2.302585092994046,0,0,1,0,4.0943445622221
754.3,39.09,42.76,39.0,34.5,45.7,42.03,22.89,20.79,6.56,20.53333333,23.39,20.29,63.66666667,1.0,0.0,0,1,0,0,3.912023005428146
762.1,36.03,37.66333333,34.4,28.79,37.03,35.0,22.1,21.82666667,8.66,19.2,22.7,19.39,24.83333333,3.833333333,0.0,0,1,0,0,4.499809670330265
764.5,38.86333333,37.79,41.9,38.3425,43.565,40.72333333,21.53333333,21.6,1.066666667,19.79,21.5,17.7,27.5,2.833333333,2.302585092994046,0,0,0,0,4.248495242049359
765.75,34.46333333,36.22666667,34.09,26.2,34.82666667,38.09,20.89,20.39,5.563333333,20.0,21.1,19.53333333,63.66666667,1.833333333,2.302585092994046,0,1,0,0,4.0943445622221
758.7666667,37.4,40.2,37.26,37.29,43.86333333,40.26,22.2,21.16666667,5.66,19.79,22.06666667,19.29,63.33333333,1.666666667,0.0,0,1,0,0,3.688879454113936
762.3,43.5,43.09,44.4,40.32777778,46.145,48.9,20.29,18.2,11.69,18.11666667,19.46333333,17.0,40.0,5.0,0.0,0,0,0,0,3.912023005428146
760.0,39.5,41.09,40.645,38.9,45.7,44.34285714,21.2,19.79,-2.0,19.0,20.2,18.26428571,37.0,2.0,0.0,1,0,0,0,3.688879454113936
755.9,44.29,44.09,44.82666667,42.65722222,53.91666667,49.0,19.89,16.5,8.89,16.85111111,18.5,16.39,42.0,11.66666667,0.0,0,0,0,0,3.688879454113936
746.6,39.66333333,38.12666667,37.06,32.4,40.5,42.59,24.16666667,22.5,17.32666667,22.0,23.29,20.89,32.0,8.666666667,0.0,0,0,1,0,4.382026634673881
748.7,38.12666667,40.43333333,36.5,32.46,42.96,37.29,21.6,21.29,3.433333333,20.6,23.29,19.5,55.0,4.0,2.995732273553991,0,0,1,0,4.248495242049359
767.3,38.63333333,42.23333333,37.0,30.2,43.2,40.74,20.1,19.89,1.633333333,19.1,20.92666667,18.625,12.0,1.0,2.302585092994046,0,1,0,0,3.912023005428146
764.9,40.39,38.62666667,45.0,38.1675,42.46666667,40.29,22.79,20.79,0.733333333,19.9175,21.2,17.79,40.0,1.0,3.4011973816621555,0,0,0,0,4.787491742782046
763.2166667,36.0,39.06,35.4,28.96333333,36.0,35.29,21.0,20.5,6.293333333,19.7,21.2,19.5,54.66666667,2.0,0.0,0,1,0,0,4.0943445622221
766.6166667,35.26,36.69333333,34.5,26.29,35.32666667,38.53,21.39,21.6,3.596666667,19.39,21.5,19.89,21.0,3.833333333,2.302585092994046,0,1,0,0,4.382026634673881
747.15,48.09,40.89666667,44.15285714,41.66333333,46.56428571,46.09,28.21285714,25.39,19.06666667,24.7,25.5,24.2,20.33333333,3.166666667,2.995732273553991,0,0,0,1,4.382026634673881
747.2333333,46.79,40.62142857,44.18428571,41.75142857,48.43333333,46.9,26.2,26.2,25.35,25.39,26.29,24.1,40.0,3.0,0.0,0,0,0,1,4.382026634673881
746.2333333,41.0,40.23,42.0,40.78111111,49.275,44.96666667,21.1,19.6,2.23,20.0,22.29,18.66666667,63.33333333,3.0,0.0,1,0,0,0,2.995732273553991
748.4333333,40.5,38.62666667,42.13333333,38.43,45.4,42.32666667,22.16666667,18.79,4.2975,17.7,18.82333333,16.89,40.0,6.833333333,2.302585092994046,0,0,0,0,6.672032945461067
751.2666667,39.59,39.82666667,37.7,33.0,42.51833333,39.49,22.7,20.76,13.41277778,21.23,23.96333333,20.5,32.66666667,7.666666667,0.0,0,1,0,0,4.787491742782046
766.3666667,35.2,36.7,37.86333333,29.29,42.5,39.66333333,20.6,19.23,-4.156666667,19.2,21.5,18.2,20.16666667,1.333333333,0.0,1,0,0,0,3.688879454113936
754.9333333,43.63333333,44.72333333,41.96666667,41.09666667,46.93,45.754,21.39,20.1,4.263333333,19.2,20.89,18.6,63.33333333,1.833333333,0.0,1,0,0,0,4.248495242049359
761.8166667,34.66333333,36.06,36.46666667,35.36,41.995,41.03,19.7,18.29,-0.6,19.73,20.39,18.1,23.66666667,4.0,0.0,1,0,0,0,3.912023005428146
758.0166667,35.2,38.96666667,34.9,33.5,39.22333333,37.16333333,22.7,21.01428571,2.29,21.736,24.56666667,20.2,40.0,1.833333333,0.0,0,0,1,0,4.0943445622221
766.4,34.03,28.82333333,33.53,29.83,36.0,36.92857143,23.0,23.2,17.2,21.62,23.46333333,20.5,40.0,2.5,0.0,0,0,0,1,4.248495242049359
744.1833333,48.43333333,46.62142857,45.12142857,43.0,49.245,47.2,26.2,25.5,18.59666667,25.1,27.05,24.15714286,40.0,2.0,0.0,0,0,0,1,4.787491742782046
748.5,36.9,37.2,35.09,30.63333333,37.93333333,35.09,21.76,20.63333333,7.8,20.23,21.5,19.6,40.0,3.0,0.0,0,0,1,0,3.912023005428146
762.7,44.59,44.93333333,42.29,40.215,46.86944444,44.43333333,19.0,16.79,8.6,16.98777778,17.02222222,16.23,40.0,10.0,0.0,0,0,0,0,3.4011973816621555
757.3,34.79,34.66333333,35.2,30.29,36.36333333,39.79,20.2,20.16666667,6.3,21.46857143,22.2,18.32333333,28.0,8.0,0.0,1,0,0,0,3.4011973816621555
747.05,38.46666667,38.76,37.7,32.4,40.99,37.96666667,19.89,19.63333333,3.726666667,17.79,21.0,17.79,31.0,6.0,0.0,0,1,0,0,3.912023005428146
744.3666667,37.56666667,39.82666667,36.79,31.1,35.9,36.0,20.1,18.0,3.7,18.29,21.1,18.0,25.0,3.666666667,2.995732273553991,0,1,0,0,4.382026634673881
754.9333333,46.23,46.12666667,45.2,44.9,50.79,48.79,19.85666667,18.39,10.26333333,17.7,17.7,17.1,36.33333333,9.0,0.0,0,0,0,0,3.688879454113936
751.85,40.26,40.7,38.93333333,41.5,44.56,46.09,25.79,24.0,16.12571429,23.83,24.39,22.7,28.0,1.0,0.0,0,0,0,1,4.0943445622221
738.8,38.34285714,36.49571429,40.46625,32.77714286,39.09,38.7,21.20875,19.1,7.524285714,18.58571429,20.0,18.39,28.0,3.0,0.0,0,1,0,0,5.966146739123692
748.0666667,43.19666667,39.56,44.16,38.43333333,45.96333333,43.32666667,22.6,18.73,4.56,17.63333333,18.5,17.0,40.0,6.166666667,0.0,0,0,0,0,4.605170185988092
739.85,44.26666667,42.46666667,42.39666667,35.84111111,44.67555556,42.56,23.76333333,21.39,8.36,19.445,22.0,19.0,28.33333333,10.16666667,2.995732273553991,1,0,0,0,6.551080335043404
757.2333333,42.15666667,40.09,41.76,36.29,45.09,40.0,19.2,18.7,2.4,18.2,19.79,16.79,29.0,3.333333333,2.302585092994046,0,0,0,0,4.605170185988092
766.8833333,35.82666667,26.65666667,34.33333333,31.2,38.06,37.5,22.92666667,22.89,16.42666667,21.1,22.73,20.56,40.0,2.833333333,2.302585092994046,0,0,0,1,3.912023005428146
761.65,34.86333333,31.76428571,34.9475,27.46,34.745,34.66857143,24.2,23.89,15.26333333,23.82333333,25.55,23.0,40.0,4.5,0.0,0,0,0,1,4.248495242049359
756.6,41.46666667,41.86,40.29,34.7,43.0425,37.29,19.29,18.39,-2.529444444,18.53333333,19.865,16.96333333,24.0,3.0,2.995732273553991,0,0,0,0,5.703782474656201
757.0,39.02666667,42.33333333,36.93,34.76,43.33714286,44.62666667,24.76,23.39,6.563333333,22.89,24.1,22.6,24.0,1.0,0.0,0,0,0,1,3.4011973816621555
752.6333333,37.93333333,39.09,36.4,31.92666667,38.36333333,35.7,21.39,19.7,-0.4,18.35666667,21.1,17.6,23.66666667,1.0,2.995732273553991,0,1,0,0,4.605170185988092
757.6833333,43.7,42.4,45.9,41.07,52.39944444,49.5,22.0,20.56666667,3.933333333,18.5,20.89,18.2,30.83333333,4.0,0.0,1,0,0,0,4.0943445622221
761.4166667,37.4,40.5,36.66333333,32.09,40.93,38.29,22.2,20.0,6.09,19.29,23.73,19.42666667,57.5,1.833333333,2.302585092994046,0,1,0,0,4.0943445622221
755.8,36.29,38.09,37.29,36.9,42.7,41.09,23.89,22.6,7.933333333,22.5,22.92666667,21.1,40.0,4.0,0.0,0,0,0,1,4.0943445622221
733.35,43.92,40.86,42.09,36.17555556,45.16277778,43.46666667,22.5,19.5,3.933333333,18.67777778,22.89,19.0,34.0,5.5,0.0,1,0,0,0,4.700480365792417
741.2,38.2,38.7,39.5,34.20277778,44.5,40.82666667,20.89,19.5,0.766666667,19.39,23.0,18.5,23.5,1.5,0.0,1,0,0,0,3.688879454113936
745.55,38.0,40.2,38.2,32.5,43.29,41.79,20.29,17.39,2.59,18.1,20.35666667,18.0,34.0,7.0,0.0,0,1,0,0,3.688879454113936
763.6333333,46.19666667,43.46333333,44.69944444,35.29,42.79,42.7,22.765,21.63333333,5.463333333,18.6,22.29,18.39,40.0,3.333333333,2.995732273553991,1,0,0,0,5.075173815233827
757.2666667,47.86333333,46.16333333,45.03,45.2,52.32055556,51.09,22.39,21.0,9.066666667,18.71,20.31222222,18.29,49.0,6.0,2.995732273553991,1,0,0,0,4.0943445622221
754.8666667,43.9,45.09,41.82666667,41.56333333,47.19333333,46.09571429,21.39,20.1,4.123333333,19.2,20.89,18.6,63.66666667,1.666666667,0.0,1,0,0,0,4.0943445622221
756.0,45.4,44.9,42.7,44.56,52.16333333,47.0,21.39,21.76333333,12.12571429,18.2,21.5,18.39,35.66666667,10.0,2.995732273553991,1,0,0,0,4.787491742782046
761.4,37.5,40.845,36.79,32.2,40.6,39.02666667,22.1,19.92666667,6.263333333,19.29,23.5,19.56666667,44.0,2.0,0.0,0,1,0,0,4.0943445622221
747.1,43.66333333,41.72333333,43.06,34.9,44.54833333,42.33333333,21.39,18.7,7.063333333,19.2,22.48166667,19.1,40.0,8.0,2.302585092994046,1,0,0,0,5.966146739123692
761.2,39.7,41.5,37.59,33.29,41.19428571,41.35285714,25.26428571,23.39,8.0,23.39,25.43714286,22.79,23.5,1.0,0.0,0,0,0,1,4.0943445622221
753.0666667,36.9,38.32666667,36.66333333,32.06666667,38.46666667,35.4,21.2,21.69333333,-0.333333333,18.29,20.89,17.5,21.0,1.666666667,0.0,0,1,0,0,4.0943445622221
753.1,35.2675,34.4,34.5,27.96333333,36.53,33.43333333,21.29,20.7,10.12,20.0,21.82333333,19.29,40.0,6.0,0.0,0,0,1,0,4.605170185988092
764.6,38.49,36.2,37.59,26.1,35.59,38.09,21.6,21.29,8.63,20.63333333,21.89,19.7,28.0,8.0,0.0,0,1,0,0,4.499809670330265
761.1333333,43.16333333,42.26,44.35722222,34.83277778,43.7,46.26,21.775,21.56666667,5.5,18.95722222,21.53888889,18.66666667,40.0,6.0,2.302585092994046,1,0,0,0,4.605170185988092
767.45,37.4,31.92666667,37.2,29.48428571,37.2,37.7225,22.1,22.79,12.76333333,20.39,21.2,20.245,27.66666667,6.0,0.0,0,0,1,0,3.688879454113936
